firm_id,firm_name,ticker,sector,region,year,total_assets,current_assets,current_liabilities,retained_earnings,ebit,total_debt,market_cap,revenue,X1,X2,X3,X4,X5,zscore,zscore_zone,in_distress,in_grey,in_safe,log_assets,leverage,liquidity,roa,revenue_growth,zscore_lag1
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2000,4242.08,1208.74,786.49,1554.35,318.98,1859.27,7099.91,5234.84,0.09953843397578546,0.36641223173537507,0.07519424433296874,3.8186546332700466,1.234026703881115,4.405783735342408,Safe,0,0,1,8.35280899397556,0.43829206427035794,1.5368790448702463,0.07519424433296874,,
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2001,4285.75,1499.56,1651.29,1693.72,348.41,1730.57,8033.44,4516.26,-0.035403371638569686,0.3951980400163332,0.08129498920842326,4.6420774658060635,1.0537852184565129,4.61809837238453,Safe,0,0,1,8.36305084488759,0.4037963016974858,0.9081142621828994,0.08129498920842326,-0.13726876084082795,4.405783735342408
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2002,4150.58,1361.06,895.53,1812.93,298.04,1574.67,6269.48,4680.41,0.11216022820906957,0.4367895571221372,0.07180683181627628,3.981456432141337,1.127652038992141,4.49958609709253,Safe,0,0,1,8.331003362495505,0.3793855316606354,1.5198374147153082,0.07180683181627628,0.03634644595306735,4.61809837238453
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2003,5700.98,1729.91,1429.72,2079.68,666.87,2418.52,10231.92,6468.86,0.052655859168072874,0.3647934214819207,0.11697462541527949,4.2306534574863965,1.1346926317931303,4.632998791231767,Safe,0,0,1,8.648393368868964,0.42422881679991864,1.209964188792211,0.11697462541527949,0.382113960101786,4.49958609709253
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2004,5745.42,2038.54,1432.18,2368.37,721.73,2281.59,6189.77,7256.46,0.10553797633593365,0.4122187759989696,0.12561831859115608,2.712919499121227,1.2629990496778303,4.009043058503059,Safe,0,0,1,8.656158294660274,0.3971145712584981,1.4233825357147845,0.12561831859115608,0.12175251899098138,4.632998791231767
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2005,6752.0,2330.28,2028.73,2432.31,159.84,3336.08,4817.95,8136.43,0.044660841232227515,0.3602354857819905,0.02367298578199052,1.444194983333733,1.205039988151659,2.707600520805927,Grey,0,1,0,8.817594036275793,0.49408767772511847,1.1486397894249112,0.02367298578199052,0.1212671192289354,4.009043058503059
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2006,6986.45,2081.21,1543.22,2811.54,948.07,2528.03,10407.39,8335.02,0.07700477352589656,0.40242755619806914,0.13570125027732255,4.1167984557145285,1.193026501298943,4.766724007551197,Safe,0,0,1,8.851727837835622,0.36184757637999276,1.348615233084071,0.13570125027732255,0.02440751041918876,2.707600520805927
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2007,6835.93,2104.16,1658.22,3037.27,564.34,3334.22,7214.65,8053.55,0.06523472300038177,0.4443096988997839,0.08255497057459629,2.1638194240332074,1.178120606852323,3.4491589102285705,Safe,0,0,1,8.829947804276676,0.4877492894163632,1.2689269216388657,0.08255497057459629,-0.03376956504003592,4.766724007551197
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2008,6990.09,3181.23,2805.19,3293.35,640.2,3080.65,6166.63,8289.18,0.05379615999221755,0.47114557895534964,0.09158680360338708,2.001730154350543,1.185847392522843,3.4132811395524967,Safe,0,0,1,8.852248710681447,0.4407167861930247,1.1340515259215953,0.09158680360338708,0.029257904899081755,3.4491589102285705
MAR001,Cosumar,CSR,Agro-alimentaire & Boissons,Casablanca-Settat,2009,7900.03,3276.19,2265.78,3501.48,520.31,3525.07,12784.71,8896.2,0.12789951430564186,0.4432236333279747,0.06586177520844858,3.626796063624268,1.1260969895051032,4.2935109896934796,Safe,0,0,1,8.974621835916256,0.446209697937856,1.4459435602750486,0.06586177520844858,0.07323040397240743,3.4132811395524967
